colour	fill	x	y	group	showSelected1
#FE0000	#FE0000	308.620689655172	450	1	1
#FE0000	#FE0000	307.875391876229	453.506350371343	1	1
#FE0000	#FE0000	305.768367296197	456.406420909288	1	1
#FE0000	#FE0000	302.663939606681	458.19876307151	1	1
#FE0000	#FE0000	299.098892558038	458.573464615244	1	1
#FE0000	#FE0000	295.689655172414	457.465736239521	1	1
#FE0000	#FE0000	293.025715565733	455.067114243901	1	1
#FE0000	#FE0000	291.567693097122	451.792342162222	1	1
#FE0000	#FE0000	291.567693097122	448.207657837778	1	1
#FE0000	#FE0000	293.025715565733	444.932885756099	1	1
#FE0000	#FE0000	295.689655172414	442.534263760479	1	1
#FE0000	#FE0000	299.098892558038	441.426535384756	1	1
#FE0000	#FE0000	302.663939606681	441.80123692849	1	1
#FE0000	#FE0000	305.768367296197	443.593579090712	1	1
#FE0000	#FE0000	307.875391876229	446.493649628657	1	1
#FE0000	#FE0000	308.620689655172	450	1	1
#FE0300	#FE0300	308.620689655172	450	1	2
#FE0300	#FE0300	307.875391876229	453.506350371343	1	2
#FE0300	#FE0300	305.768367296197	456.406420909288	1	2
#FE0300	#FE0300	302.663939606681	458.19876307151	1	2
#FE0300	#FE0300	299.098892558038	458.573464615244	1	2
#FE0300	#FE0300	295.689655172414	457.465736239521	1	2
#FE0300	#FE0300	293.025715565733	455.067114243901	1	2
#FE0300	#FE0300	291.567693097122	451.792342162222	1	2
#FE0300	#FE0300	291.567693097122	448.207657837778	1	2
#FE0300	#FE0300	293.025715565733	444.932885756099	1	2
#FE0300	#FE0300	295.689655172414	442.534263760479	1	2
#FE0300	#FE0300	299.098892558038	441.426535384756	1	2
#FE0300	#FE0300	302.663939606681	441.80123692849	1	2
#FE0300	#FE0300	305.768367296197	443.593579090712	1	2
#FE0300	#FE0300	307.875391876229	446.493649628657	1	2
#FE0300	#FE0300	308.620689655172	450	1	2
#FE0600	#FE0600	308.620689655172	450	1	3
#FE0600	#FE0600	307.875391876229	453.506350371343	1	3
#FE0600	#FE0600	305.768367296197	456.406420909288	1	3
#FE0600	#FE0600	302.663939606681	458.19876307151	1	3
#FE0600	#FE0600	299.098892558038	458.573464615244	1	3
#FE0600	#FE0600	295.689655172414	457.465736239521	1	3
#FE0600	#FE0600	293.025715565733	455.067114243901	1	3
#FE0600	#FE0600	291.567693097122	451.792342162222	1	3
#FE0600	#FE0600	291.567693097122	448.207657837778	1	3
#FE0600	#FE0600	293.025715565733	444.932885756099	1	3
#FE0600	#FE0600	295.689655172414	442.534263760479	1	3
#FE0600	#FE0600	299.098892558038	441.426535384756	1	3
#FE0600	#FE0600	302.663939606681	441.80123692849	1	3
#FE0600	#FE0600	305.768367296197	443.593579090712	1	3
#FE0600	#FE0600	307.875391876229	446.493649628657	1	3
#FE0600	#FE0600	308.620689655172	450	1	3
#FE0800	#FE0800	308.620689655172	450	1	4
#FE0800	#FE0800	307.875391876229	453.506350371343	1	4
#FE0800	#FE0800	305.768367296197	456.406420909288	1	4
#FE0800	#FE0800	302.663939606681	458.19876307151	1	4
#FE0800	#FE0800	299.098892558038	458.573464615244	1	4
#FE0800	#FE0800	295.689655172414	457.465736239521	1	4
#FE0800	#FE0800	293.025715565733	455.067114243901	1	4
#FE0800	#FE0800	291.567693097122	451.792342162222	1	4
#FE0800	#FE0800	291.567693097122	448.207657837778	1	4
#FE0800	#FE0800	293.025715565733	444.932885756099	1	4
#FE0800	#FE0800	295.689655172414	442.534263760479	1	4
#FE0800	#FE0800	299.098892558038	441.426535384756	1	4
