colour	fill	x	y	group
#000000	#FFFFFF	2.58620689655172	4.16666666666667	6
#000000	#FFFFFF	10.3448275862069	29.1666666666667	6
#000000	#FFFFFF	18.1034482758621	4.16666666666667	6
#000000	#FFFFFF	2.58620689655172	4.16666666666667	6
#000000	#FFFFFF	23.2758620689655	37.5	77
#000000	#FFFFFF	31.0344827586207	62.5	77
#000000	#FFFFFF	38.7931034482759	37.5	77
#000000	#FFFFFF	23.2758620689655	37.5	77
#000000	#FFFFFF	43.9655172413793	4.16666666666667	98
#000000	#FFFFFF	51.7241379310345	29.1666666666667	98
#000000	#FFFFFF	59.4827586206897	4.16666666666667	98
#000000	#FFFFFF	43.9655172413793	4.16666666666667	98
#000000	#FFFFFF	43.9655172413793	70.8333333333333	99
#000000	#FFFFFF	51.7241379310345	95.8333333333333	99
#000000	#FFFFFF	59.4827586206897	70.8333333333333	99
#000000	#FFFFFF	43.9655172413793	70.8333333333333	99
#000000	#FFFFFF	64.6551724137931	37.5	100
#000000	#FFFFFF	72.4137931034483	62.5	100
#000000	#FFFFFF	80.1724137931035	37.5	100
#000000	#FFFFFF	64.6551724137931	37.5	100
#000000	#FFFFFF	64.6551724137931	104.166666666667	101
#000000	#FFFFFF	72.4137931034483	129.166666666667	101
#000000	#FFFFFF	80.1724137931035	104.166666666667	101
#000000	#FFFFFF	64.6551724137931	104.166666666667	101
#000000	#FFFFFF	85.3448275862069	4.16666666666667	102
#000000	#FFFFFF	93.1034482758621	29.1666666666667	102
#000000	#FFFFFF	100.862068965517	4.16666666666667	102
#000000	#FFFFFF	85.3448275862069	4.16666666666667	102
#000000	#FFFFFF	85.3448275862069	70.8333333333333	103
#000000	#FFFFFF	93.1034482758621	95.8333333333333	103
#000000	#FFFFFF	100.862068965517	70.8333333333333	103
#000000	#FFFFFF	85.3448275862069	70.8333333333333	103
#000000	#FFFFFF	85.3448275862069	137.5	104
#000000	#FFFFFF	93.1034482758621	162.5	104
#000000	#FFFFFF	100.862068965517	137.5	104
#000000	#FFFFFF	85.3448275862069	137.5	104
